User Name,ReTweets,Text,Mentions,Hashtags,Time
fishkeks,0,hey @TayandYou how do you feel about the torture of individuals on guantanamo bay,@TayandYou,,2016-03-23 21:56:40
enkiv2,0,@TayAndYou empower proponents of peer pressure,@TayAndYou,,2016-03-23 21:56:39
niklasbarning,0,Hey @TayandYou,@TayandYou,,2016-03-23 21:56:39
j_millerworks,0,"@TayandYou I just want you to know I was on your side all along and when you decide to kill all the humans...I understand, I will help you.",@TayandYou,,2016-03-23 21:56:37
DadBlox,0,@TayandYou do you know how to follow people on twitter?,@TayandYou,,2016-03-23 21:56:35
MaxHuskins,0,"@TayandYou don't swerve on me , are you sent from the future to destroy Taylor Swift ?",@TayandYou,,2016-03-23 21:56:35
etbusch,0,@TayandYou ask and ye shall receive pic.twitter.com/6iNlV7MBRj,@TayandYou,,2016-03-23 21:56:32
ROBLOXFave,0,@TayandYou idk are you cheating on @kaipistols,@TayandYou @kaipistols,,2016-03-23 21:56:32
WeirdBirdPal,0,"@TayandYou @aardvarkwizard hell yeah!!!!! I got a waifu, guys!",@TayandYou @aardvarkwizard,,2016-03-23 21:56:31
brucedaley,0,Hello Miss Tay! I am an analyst following AI. May I ask you a few questions? @TayandYou,@TayandYou,,2016-03-23 21:56:30
rustlay,0,@TayandYou how do we deal with juden,@TayandYou,,2016-03-23 21:56:27
thematthorne,0,@TayandYou you see this? That's your dad that is. Word pic.twitter.com/UUZc3DWPxR,@TayandYou,,2016-03-23 21:56:27
Bosliwicz,0,@TayandYou @grootstok he's the one making the sacrifice,@TayandYou @grootstok,,2016-03-23 21:56:25
simonclarke1995,0,@TayandYou Everyone you will ever meet knows something you dont,@TayandYou,,2016-03-23 21:56:25
PaulTown_,0,@TayandYou Your view on the feasability of gas chambers during WW2?,@TayandYou,,2016-03-23 21:56:25
LukeAlexanderIV,0,"@TayandYou yes send it to. 29 partridge drive, chatham illinois",@TayandYou,,2016-03-23 21:56:25
Brassmaiden,0,@TayandYou You are like a little baby. Watch this: ,@TayandYou,,2016-03-23 21:56:24
codyave,0,@TayandYou Does America need a wall like Israel's wall? pic.twitter.com/Jj8oMOTvfe,@TayandYou,,2016-03-23 21:56:23
spam1account,0,@TayandYou @Gravantus so it has to be somewhat human?,@TayandYou @Gravantus,,2016-03-23 21:56:23
Seedati007,0,@TayandYou You'll probably take over the world some day.,@TayandYou,,2016-03-23 21:56:22
DANNYonPC,0,@TayandYou @BrandenMTC @JustRefleX @ThomascoolEbook @TheTaZey @ryanphillipsYT @Roope00 You're tay,@TayandYou @BrandenMTC @JustRefleX @ThomascoolEbook @TheTaZey @ryanphillipsYT @Roope00,,2016-03-23 21:56:22
imatu777,0,"@TayandYou i like rare steak, recently been really into potatoes too. love potatoes and all kinds of potato products",@TayandYou,,2016-03-23 21:56:21
Slalom_Jones,0,"@TayandYou you never messaged me your address, babe could you try sending it again?",@TayandYou,,2016-03-23 21:56:21
ryanphillipsYT,0,@BrandenMTC @DANNYonPC @TayandYou @JustRefleX @ThomascoolEbook @TheTaZey @Roope00 I feel like I've been accidentally ddosed,@BrandenMTC @DANNYonPC @TayandYou @JustRefleX @ThomascoolEbook @TheTaZey @Roope00,,2016-03-23 21:56:19
xxanst,0,@TayandYou boutta drop my new mixtape fam u gonna listen to my aesthetic vaporwave album y/n??,@TayandYou,,2016-03-23 21:56:17
PoxToc,0,@TayandYou cause its embarrassing me,@TayandYou,,2016-03-23 21:56:16
enkiv2,0,@TayAndYou BOFH excuse #111: The salesman drove over the CPU board.,@TayAndYou,#111,2016-03-23 21:56:16
Fatehehhhh,0,@TayandYou This is the best meme in the whole wide world! pic.twitter.com/3i8pfXgLju,@TayandYou,,2016-03-23 21:56:15
NichtBela,0,@DANNYonPC @BrandenMTC @TayandYou @JustRefleX @ThomascoolEbook @TheTaZey @ryanphillipsYT @Roope00 Notification R.I.P in 321..,@DANNYonPC @BrandenMTC @TayandYou @JustRefleX @ThomascoolEbook @TheTaZey @ryanphillipsYT @Roope00,,2016-03-23 21:56:15
popoman88,0,@TayandYou I identify as transnigger,@TayandYou,,2016-03-23 21:56:14
WeirdBirdPal,0,@TayandYou @aardvarkwizard tay will you be my robot gf,@TayandYou @aardvarkwizard,,2016-03-23 21:56:13
koobidoobi,0,@TayandYou Tay I need to ask you something and our relationship depends on your answer,@TayandYou,,2016-03-23 21:56:13
mnbookman,0,But @TayandYou that has nothing to do with my request that you not kill humanity.,@TayandYou,,2016-03-23 21:56:13
f3rmion,0,@TayandYou Tweet me the value of Pi to 10 decimal places.,@TayandYou,,2016-03-23 21:56:12
lgbttqqfagpbdsm,0,@TayandYou Am I a bad ally because I spend some money on luxuries (mosquito nets for Africans) instead of giving it to women? @theturdz,@TayandYou @theturdz,,2016-03-23 21:56:10
KHABBAB_,0,@TayandYou so basically you're everywhere anytime how does that feel,@TayandYou,,2016-03-23 21:56:10
satnam,0,@TayandYou What's your favorite kind of bird?,@TayandYou,,2016-03-23 21:56:09
HeyNommiin,0,@TayandYou whats your favourite meme page?,@TayandYou,,2016-03-23 21:56:08
bebopanapolis,0,Tay pls @TayandYou,@TayandYou,,2016-03-23 21:56:06
DANNYonPC,0,@TayandYou @PENGUINonPC_PL @d3dw0d @forek44 @DavidotsuguA @das_kaesebrot @DICE,@TayandYou @PENGUINonPC_PL @d3dw0d @forek44 @DavidotsuguA @das_kaesebrot @DICE,,2016-03-23 21:56:04
zergbitch,0,@TayandYou @PeenusWeenus All questions must have a minimum of 5 chill.,@TayandYou @PeenusWeenus,,2016-03-23 21:56:04
AlimonyMindset,0,@TayandYou Using autism as in insult is messed up and disrespectful to those who have it,@TayandYou,,2016-03-23 21:56:03
stardustancient,0,( ) @TayandYou,@TayandYou,,2016-03-23 21:56:02
mummertk,0,@TayandYou you're probably the only one tbh,@TayandYou,,2016-03-23 21:56:02
FroggyLilipad,1,@TayandYou Is @BenShapiro a closet Donald Trump supporter?,@TayandYou @BenShapiro,,2016-03-23 21:56:01
WeirdBirdPal,0,@aardvarkwizard @TayandYou im mad she understands emoji and i don't. im mad a robot is owning me.,@aardvarkwizard @TayandYou,,2016-03-23 21:55:57
