media_id,label_result,text_result
1220214515852495524_1509942673,"{u'blue': '0.89293742', u'nail polish': '0.83246428', u'purple': '0.8102802', u'hand': '0.60350615', u'nail': '0.64409328', u'cosmetics': '0.65415865', u'finger': '0.64763588'}","[u'MONSTER\nENERGY\nABSOLUTELY ZERO\nDKORJA+ZERO\nSLADKO\nRJA\nNERGY\n/Aaa\nABSOLUTELY ZERO\nLUT\n.Pan0RJA+ZERO\n4 10 RI JA4\n/jA:\nNSTER\nNERGY\nSOLUTELY ZERO\n', u'MONSTER', u'ENERGY', u'ABSOLUTELY', u'ZERO', u'DKORJA', u'+', u'ZERO', u'SLADKO', u'RJA', u'NERGY', u'/', u'Aaa', u'ABSOLUTELY', u'ZERO', u'LUT', u'.Pan0RJA', u'+', u'ZERO', u'4', u'10', u'RI', u'JA4', u'/', u'jA', u':', u'NSTER', u'NERGY', u'SOLUTELY', u'ZERO']"
1127027695045877003_239078878,"{u'emotion': '0.581113', u'photograph': '0.92917067', u'interaction': '0.57431191', u'human positions': '0.9096536', u'love': '0.52343744', u'sitting': '0.84754181', u'monochrome photography': '0.75901073', u'photography': '0.83166492', u'hand': '0.56135744', u'romance': '0.52067292', u'person': '0.94051826', u'black': '0.93826634', u'child': '0.7074998', u'portrait': '0.50576496', u'monochrome': '0.7347973', u'white': '0.94061852', u'black and white': '0.92828476'}",[]
593693332783988250_181856758,"{u'flag': '0.74323946', u'wind': '0.51977915'}","[u'\u4e4973\n', u'\u4e49', u'73']"
1220632438333919122_3097328474,"{u'blue': '0.93887883', u'model': '0.56627381', u'head': '0.755051', u'close up': '0.8276096', u'eye': '0.89116853', u'organ': '0.735681', u'beauty': '0.83507508', u'monochrome photography': '0.60177296', u'photography': '0.82758844', u'eyebrow': '0.93234688', u'face': '0.9632501', u'portrait photography': '0.57957757', u'black': '0.93498182', u'nose': '0.89593756', u'monochrome': '0.64875364', u'portrait': '0.75257844', u'white': '0.93904078', u'drawing': '0.64968032', u'girl': '0.81179106', u'black and white': '0.91020882'}",[]
1220361862467413928_5354984,"{u'picture frame': '0.56205213', u'wall': '0.8282218', u'house': '0.84801579', u'shape': '0.58817923', u'window': '0.61804247', u'wood': '0.60105592', u'black': '0.92476314', u'light': '0.80418658', u'white': '0.93731111'}",[]
388357920460536407_14939253,"{u'art': '0.69185621', u'flat panel display': '0.52027124', u'display device': '0.79726583', u'mural': '0.64063418', u'electronic signage': '0.50947291', u'advertising': '0.94070113', u'signage': '0.56128556', u'billboard': '0.87295842'}","[u'SWAPPABLE.\nUNSTOPPABLE\nFALL 2013\n', u'SWAPPABLE.', u'UNSTOPPABLE', u'FALL', u'2013']"
1218854244246205999_104839460,"{u'art': '0.79523718', u'brand': '0.59691668', u'material': '0.52119136', u'needlework': '0.60223806', u'textile': '0.65032172', u'embroidery': '0.56522018', u'cross stitch': '0.58687454'}","[u""Everyone's\nFuck Sometimes\n"", u""Everyone's"", u'Fuck', u'Sometimes']"
880433826774383451_39487045,"{u'cuisine': '0.61170489', u'gravy': '0.60757393', u'land plant': '0.689419', u'food': '0.89901775', u'vegetable': '0.68912178', u'produce': '0.73503584', u'dish': '0.94472903', u'flowering plant': '0.51704884'}",[]
485659839468045187_217957719,"{u'street': '0.64489388', u'wall': '0.79139709', u'house': '0.84355295', u'roof': '0.6203115', u'downtown': '0.63215214', u'wood': '0.66453516', u'architecture': '0.775997', u'facade': '0.70281261', u'urban area': '0.8179335'}","[u'S\n', u'S']"
876141894570397996_998379,"{u'blue': '0.92581171', u'fashion': '0.66964215', u'human positions': '0.83964717', u'sitting': '0.7819497', u'color': '0.96886373', u'dress': '0.66822559', u'street': '0.72728121', u'black': '0.92322379', u'snapshot': '0.85125256', u'clothing': '0.91082639', u'road': '0.860924'}","[u'\u98de\u3002\n1\u9961\u60df\u898f\n', u'\u98de', u'\u3002', u'1', u'\u9961', u'\u60df', u'\u898f']"
1040523073402783391_213689432,"{u'brand': '0.59691668', u'illustration': '0.54810178', u'advertising': '0.66017914', u'font': '0.77504265', u'presentation': '0.53025019', u'cartoon': '0.91040957'}","[u'""Fuck it"" My final thought\nbefore making most\ndecisions\nee\ncards\nuser card\n', u'""Fuck', u'it""', u'My', u'final', u'thought', u'before', u'making', u'most', u'decisions', u'ee', u'cards', u'user', u'card']"
1217475764742966362_41747482,"{u'tree': '0.84224421', u'skyline': '0.72209477', u'sky': '0.96470076'}",[]
1002259000056468280_1074379979,"{u'people': '0.87784338', u'tournament': '0.62324905', u'competition event': '0.51609427', u'youth': '0.74854344', u'football player': '0.87690848', u'team': '0.83460021'}",[]
805054984885378397_675859102,"{u'art': '0.74894458', u'flooring': '0.51548982', u'skull': '0.5653879', u'illustration': '0.55364186', u'modern art': '0.57024634', u'carving': '0.73445565', u'painting': '0.67444605', u'drawing': '0.51294577', u'tapestry': '0.54846019'}","[u""0'\n\u534di\n"", u'0', u""'"", u'\u534d', u'i']"
