media_id,label_result,text_result
891398_775825299114494_1309032842_n,"{u'picture frame': '0.73010522', u'product': '0.747403', u'pattern': '0.54954374', u'brand': '0.59691668', u'symbol': '0.50193691', u'font': '0.82827371', u'drawing': '0.58544379'}","[u'R@j\n2\nC\nKR3W\n', u'R', u'@', u'j', u'2', u'C', u'KR3W']"
927938_278465882313897_2134844553_n,"{u'ceremony': '0.72292215', u'interaction': '0.53169137', u'family': '0.64064455', u'people': '0.94282269', u'person': '0.91300017', u'senior citizen': '0.76430261', u'man': '0.86719483'}","[u'ffe\nJ\n', u'ffe', u'J']"
1389357_600346420015093_450943783_n,"{u'product': '0.76121366', u'art': '0.675012', u'pattern': '0.72937065', u'brand': '0.59691668', u't shirt': '0.51347744', u'design': '0.65058267', u'font': '0.76313436', u'clothing': '0.91741711'}","[u'lint\n#OOTD\nOUTFIT \u3002\nTHE DAY\n', u'lint', u'#OOTD', u'OUTFIT', u'\u3002', u'THE', u'DAY']"
925710_207514309437748_19924822_n,"{u'photograph': '0.9282074', u'human positions': '0.83424824', u'monochrome photography': '0.78166127', u'photography': '0.84275788', u'glasses': '0.50928628', u'person': '0.9105776', u'black': '0.93640661', u'portrait': '0.50331944', u'monochrome': '0.76838678', u'male': '0.80721909', u'black and white': '0.93116945', u'man': '0.86854964'}",[]
1516669_400226640080891_2139399738_n,"{u'electronic device': '0.74742943', u'laptop': '0.64158005', u'multimedia': '0.62635618', u'laptop replacement keyboard': '0.57184124', u'musical keyboard': '0.56076145', u'technology': '0.76845604', u'computer keyboard': '0.92552149'}","[u'Z X C V N\nWhen you see it.....\n', u'Z', u'X', u'C', u'V', u'N', u'When', u'you', u'see', u'it.....']"
10311298_641965962552174_949833880_n,"{u'speech': '0.66397387', u'news conference': '0.69482583'}","[u'LIVE NBA TV\nNBA\nBREAKING NEWS\nAdam Silver: ""I am banning Donald Sterling for\nlife from Clippers organization""\nODGERS vs TWINS\nT\n8:10 ET\nNBA\n', u'LIVE', u'NBA', u'TV', u'NBA', u'BREAKING', u'NEWS', u'Adam', u'Silver:', u'""I', u'am', u'banning', u'Donald', u'Sterling', u'for', u'life', u'from', u'Clippers', u'organization""', u'ODGERS', u'vs', u'TWINS', u'T', u'8:10', u'ET', u'NBA']"
10431988_250172868507421_451400460_n,{u'player': '0.89605725'},"[u'VSTEA\nmiez\nZuml\nAuml\n', u'VSTEA', u'miez', u'Zuml', u'Auml']"
927284_1404761216471489_1993725347_n,"{u'head': '0.74660736', u'muscle': '0.69186783', u'image': '0.9002291', u'cap': '0.79017317', u'facial hair': '0.681928', u'hairstyle': '0.69526136', u'face': '0.94860727', u'hair': '0.94690776', u'headgear': '0.53914994', u'portrait': '0.55807096', u'male': '0.80994207', u'clothing': '0.92546976', u'selfie': '0.60480493', u'red': '0.90111631', u'man': '0.8209787'}",[]
1171919_610098042384117_376463511_n,"{u'image': '0.90000045', u'painting': '0.5250814'}","[u'rgearriesTo\n', u'rgearriesTo']"
927564_373922389417518_1035471138_n,"{u'food': '0.6107505', u'dessert': '0.519237', u'label': '0.66421288', u'skin': '0.73648751', u'breakfast': '0.64591587', u'flavor': '0.54859167', u'cream': '0.53760082'}","[u'WTI food bedE\nperfect Valentine.\nChocolate\nBrownie\n', u'WTI', u'food', u'bedE', u'perfect', u'Valentine.', u'Chocolate', u'Brownie']"
